Package,Class,Member Name,Member ID or top-level category,SnippetIdInTheYAMLFile,MethodNameInTheSnippet
Excel,DataValidationAlertStyle,,enum,excel-data-validation,addPositiveNumberRequirement
Excel,DataValidationErrorAlert,,interface,excel-data-validation,addPositiveNumberRequirement
Excel,DataValidationOperator,,enum,excel-data-validation,addPositiveNumberRequirement
Excel,DataValidationRule,list,,excel-data-validation,requireApprovedName
Excel,DataValidationRule,wholeNumber,,excel-data-validation,addPositiveNumberRequirement
Excel,DateFilterCondition,,enum,excel-pivottables-pivotfilters,dateFilter
Excel,DeleteShiftDirection,,enum,excel-events-worksheet,deleteData
Excel,DocumentProperties,custom,,excel-document-custom-properties,getCustomDocProperties
Excel,DoubleCellValue,numberFormat,,excel-data-types-doubles,setDoubleAsCurrency
Excel,DoubleCellValue,type,,excel-data-types-doubles,setDoubleAsDate
Excel,DynamicFilterCriteria,,enum,excel-table-filter-data,filterTable
Excel,EntityCardLayout,,interface,excel-data-types-entity-attribution,makeProductEntity
Excel,EntityCompactLayoutIcons,,enum,excel-data-types-icons,createEntitiesWithIcons
Excel,EntityPropertyType,,type,excel-data-types-entity-attribution,makeProductEntity
Excel,EntityViewLayouts,,interface,excel-data-types-entity-attribution,makeProductEntity
Excel,ErrorCellValue,,type,excel-data-types-error-values,setBusyError
Excel,ErrorCellValueType,,enum,excel-data-types-error-values,setBusyError
Excel,FillPattern,,enum,excel-range-cell-properties,setCellProperties
Excel,FilterCriteria,filterOn,,excel-worksheet-auto-filter,addPercentAutoFilter
Excel,FilterDatetimeSpecificity,,enum,excel-pivottables-pivotfilters,dateFilter
Excel,FilterOn,,enum,excel-table-filter-data,filterTable
Excel,Functions,,class,excel-workbook-built-in-function,callVlookup
Excel,Functions,vlookup,1,excel-workbook-built-in-function,callVlookup
Excel,Functions,sum,1,excel-workbook-built-in-function,nestFunctions
Excel,GeometricShapeType,,enum,excel-shape-create-and-delete,createHexagon
Excel,GroupOption,,enum,excel-outline,groupRows
Excel,HorizontalAlignment,,enum,excel-merged-ranges,createMergedRange
Excel,IconSet,,enum,excel-range-conditional-formatting-basic,applyIconSetFormat
Excel,IconSetConditionalFormat,criteria,,excel-range-conditional-formatting-basic,applyIconSetFormat
Excel,IconSetConditionalFormat,style,,excel-range-conditional-formatting-basic,applyIconSetFormat
Excel,Image,format,,excel-shape-images,getImageFormat
Excel,InsertShiftDirection,,enum,excel-range-insert-delete-and-clear-range,insertRange
Excel,KeyboardDirection,,enum,excel-range-get-range-edge,getRangeEdgeUp
Excel,LabelFilterCondition,,enum,excel-pivottables-pivotfilters,labelFilter
Excel,Line,connectBeginShape,1,excel-shape-lines,connectStraightLine
Excel,Line,connectEndShape,1,excel-shape-lines,connectStraightLine
Excel,Line,disconnectBeginShape,1,excel-shape-lines,disconnectStraightLine
Excel,Line,disconnectEndShape,1,excel-shape-lines,disconnectStraightLine
Excel,NamedItem,,class,excel-named-item-create-and-remove-named-item,listNamedItems
Excel,NamedItem,delete,1,excel-named-item-create-and-remove-named-item,removeName
Excel,NamedItem,formula,,excel-update-named-item,updateNamedItem
Excel,NamedItemCollection,add,1,excel-named-item-create-and-remove-named-item,addNameToHeader
Excel,Note,,class,excel-note-basics,editNoteSize
Excel,Note,content,,excel-note-basics,editNoteContent
Excel,Note,height,,excel-note-basics,editNoteSize
Excel,Note,visible,,excel-note-basics,changeNoteVisibility
Excel,Note,width,,excel-note-basics,editNoteSize
Excel,Note,delete,1,excel-note-basics,deleteNote
Excel,NoteCollection,,class,excel-note-basics,addNoteToSelectedCell
Excel,NoteCollection,add,1,excel-note-basics,addNoteToSelectedCell
Excel,NoteCollection,getItem,1,excel-note-basics,changeNoteVisibility
Excel,NoteCollection,getItemAt,1,excel-note-basics,editNoteContent
Excel,NumberFormatInfo ,numberDecimalSeparator,,excel-culture-info,writeDecimal
Excel,NumberFormatInfo ,numberGroupSeparator,,excel-culture-info,writeBigNumber
Excel,PageBreakCollection,add,1,excel-worksheet-page-layout,setPageBreaks
Excel,PageLayout,centerHorizontally,,excel-worksheet-page-layout,center
Excel,PageLayout,centerVertically,,excel-worksheet-page-layout,center
Excel,PageLayout,orientation,,excel-worksheet-page-layout,changeOrientation
Excel,PageLayout,setPrintArea,1,excel-worksheet-page-layout,setPrintArea
Excel,PageLayout,setPrintTitleRows,1,excel-worksheet-page-layout,setPrintTitleRow
Excel,PageLayout,zoom,,excel-worksheet-page-layout,setZoom
Excel,PageOrientation,,enum,excel-worksheet-page-layout,changeOrientation
Excel,PictureFormat,,enum,excel-shape-images,writeOutImageString
Excel,PivotField ,clearAllFilters,1,excel-pivottables-pivotfilters,clearFilters
Excel,PivotFilters ,dateFilter,,excel-pivottables-pivotfilters,dateFilter
Excel,PivotFilters ,labelFilter,,excel-pivottables-pivotfilters,labelFilter
Excel,PivotFilters ,manualFilter,,excel-pivottables-pivotfilters,manualFilter
Excel,PivotFilters ,valueFilter,,excel-pivottables-pivotfilters,valueFilter
Excel,PivotHierarchy ,fields,,excel-pivottables-pivotfilters,valueFilter
Excel,PivotLabelFilter,,interface,excel-pivottables-pivotfilters,labelFilter
Excel,PivotLayout,getDataBodyRange,1,excel-pivottable-filters-and-summaries,getCrateTotal
Excel,PivotLayout,altTextDescription,,excel-pivottable-pivotlayout,addAltText
Excel,PivotLayout,displayBlankLineAfterEachItem,1,excel-pivottable-pivotlayout,addLineSpacing
Excel,PivotLayout,emptyCellText,,excel-pivottable-pivotlayout,setEmptyCellText
Excel,PivotLayout,fillEmptyCells,,excel-pivottable-pivotlayout,toggleFillEmptyCells
Excel,PivotLayout,layoutType,,excel-pivottable-pivotlayout,changeLayout
Excel,PivotLayout,preserveFormatting,,excel-pivottable-pivotlayout,togglePreserveFormatting
Excel,PivotLayout,repeatAllItemLabels,1,excel-pivottable-pivotlayout,repeatItemLabels
Excel,PivotLayout,showColumnGrandTotals,,excel-pivottable-pivotlayout,toggleGrandTotals
Excel,PivotLayout,showFieldHeaders,,excel-pivottable-pivotlayout,toggleFieldHeaders
Excel,PivotLayout,showRowGrandTotals,,excel-pivottable-pivotlayout,toggleGrandTotals
Excel,PivotTable,columnHierarchies,,excel-pivottable-create-and-modify,toggleColumn
Excel,PivotTable,dataHierarchies,,excel-pivottable-create-and-modify,addValues
Excel,PivotTable,delete,1,excel-pivottable-create-and-modify,deletePivot
Excel,PivotTable,layout,,excel-pivottable-create-and-modify,changeLayout
Excel,PivotTable,getDataSourceString,1,excel-pivottable-data-source,getPivotTableDataSource
Excel,PivotTable,getDataSourceType,1,excel-pivottable-data-source,getPivotTableDataSource
Excel,PivotTable,filterHierarchies,,excel-pivottable-filters-and-summaries,filter
Excel,PivotTable,refresh,1,excel-pivottable-refresh,refreshPivotTable
Excel,PivotTableCollection,add,1,excel-pivottable-create-and-modify,createWithNames
Excel,PivotTableCollection,getItem,1,excel-pivottable-refresh,refreshPivotTable
Excel,PivotValueFilter,,interface,excel-pivottables-pivotfilters,valueFilter
Excel,PresetCriteriaConditionalFormat,rule,,excel-range-conditional-formatting-basic,applyPresetFormat
Excel,Range,clearOrResetContents,1,excel-cell-controls,removeContent
Excel,Range,control,,excel-cell-controls,addCheckboxes
Excel,Range,values,,excel-cell-controls,changeCheckbox
Excel,Range,valuesAsJson,,excel-data-types-doubles,setDoubleAsDate
Excel,Range,getDirectDependents,1,excel-direct-dependents,getDirectDependents
Excel,Range,sort,,excel-event-column-and-row-sort,sortTopToBottom
