Package,Class,Member Name,Member ID or top-level category,SnippetIdInTheYAMLFile,MethodNameInTheSnippet
Word,CommentReply,,class,word-document-manage-comments,replyToFirstActiveCommentInSelection
Word,CommentReplyCollection,,class,word-document-manage-comments,getRepliesToFirstCommentInSelection
Word,CompareTarget,,enum,word-document-compare-documents,run
Word,ConflictCollection,,class,word-coauthoring-manage-coauthoring-conflicts,getConflicts
Word,ConflictCollection,acceptAll,1,word-coauthoring-manage-coauthoring-conflicts,acceptAll
Word,ConflictCollection,rejectAll,1,word-coauthoring-manage-coauthoring-conflicts,rejectAll
Word,Conflict,accept,1,word-coauthoring-manage-coauthoring-conflicts,acceptFirst
Word,Conflict,reject,1,word-coauthoring-manage-coauthoring-conflicts,rejectFirst
Word,ContentControl,delete,1,word-content-controls-content-control-ondeleted-event,deleteContentControl
Word,ContentControl,resetState,1,word-insert-and-change-content-controls,resetState
Word,ContentControl,set,1,word-content-controls-insert-and-change-content-controls,modifyContentControls
Word,ContentControl,setState,1,word-insert-and-change-content-controls,setState
Word,ContentControl,checkboxContentControl,,word-content-controls-insert-and-change-checkbox-content-control,toggleCheckboxContentControl
Word,ContentControl,comboBoxContentControl,,word-content-controls-insert-and-change-combo-box-content-control,addItemToComboBoxContentControl
Word,ContentControl,datePickerContentControl,,word-content-controls-insert-and-change-date-picker-content-control,getDatePickerProperties
Word,ContentControl,dropDownListContentControl,,word-content-controls-insert-and-change-dropdown-list-content-control,addItemToDropdownListContentControl
Word,ContentControl,onDataChanged,,word-content-controls-content-control-ondatachanged-event,registerEventHandlers
Word,ContentControl,onDataChanged,,word-content-controls-content-control-ondatachanged-event,contentControlDataChanged
Word,ContentControl,onDeleted,,word-content-controls-content-control-ondeleted-event,registerEventHandlers
Word,ContentControl,onDeleted,,word-content-controls-content-control-ondeleted-event,contentControlDeleted
Word,ContentControl,onEntered,,word-content-controls-content-control-onentered-event,registerEventHandlers
Word,ContentControl,onEntered,,word-content-controls-content-control-onentered-event,contentControlEntered
Word,ContentControl,onExited,,word-content-controls-content-control-onexited-event,registerEventHandlers
Word,ContentControl,onExited,,word-content-controls-content-control-onexited-event,contentControlExited
Word,ContentControl,onSelectionChanged,,word-content-controls-content-control-onselectionchanged-event,registerEventHandlers
Word,ContentControl,onSelectionChanged,,word-content-controls-content-control-onselectionchanged-event,contentControlSelectionChanged
Word,ContentControl,tag,,word-content-controls-insert-and-change-content-controls,insertContentControls
Word,ContentControlAddedEventArgs,,interface,word-content-controls-content-control-onadded-event,registerEventHandler
Word,ContentControlAddedEventArgs,,interface,word-content-controls-content-control-onadded-event,contentControlAdded
Word,ContentControlAppearance,,enum,word-content-controls-insert-and-change-content-controls,modifyContentControls
Word,ContentControlCollection,,class,word-scenarios-doc-assembly,changeCustomer
Word,ContentControlCollection,getByTag,1,word-scenarios-doc-assembly,changeCustomer
Word,ContentControlCollection,getFirstOrNullObject,1,word-content-controls-insert-and-change-checkbox-content-control,toggleCheckboxContentControl
Word,ContentControlDataChangedEventArgs,,interface,word-content-controls-content-control-ondatachanged-event,registerEventHandlers
Word,ContentControlDataChangedEventArgs,,interface,word-content-controls-content-control-ondatachanged-event,contentControlDataChanged
Word,ContentControlDateStorageFormat,,enum,word-content-controls-insert-and-change-date-picker-content-control,changeStorageFormat
Word,ContentControlDeletedEventArgs,,interface,word-content-controls-content-control-ondeleted-event,registerEventHandlers
Word,ContentControlDeletedEventArgs,,interface,word-content-controls-content-control-ondeleted-event,contentControlDeleted
Word,ContentControlEnteredEventArgs,,interface,word-content-controls-content-control-onentered-event,registerEventHandlers
Word,ContentControlEnteredEventArgs,,interface,word-content-controls-content-control-onentered-event,contentControlEntered
Word,ContentControlExitedEventArgs,,interface,word-content-controls-content-control-onexited-event,registerEventHandlers
Word,ContentControlExitedEventArgs,,interface,word-content-controls-content-control-onexited-event,contentControlExited
Word,ContentControlListItem,,class,word-content-controls-insert-and-change-dropdown-list-content-control,deleteItemFromDropdownListContentControl
Word,ContentControlListItem,delete,1,word-content-controls-insert-and-change-combo-box-content-control,deleteItemFromComboBoxContentControl
Word,ContentControlListItem,displayText,,word-content-controls-insert-and-change-dropdown-list-content-control,deleteItemFromDropdownListContentControl
Word,ContentControlListItemCollection,,class,word-content-controls-insert-and-change-combo-box-content-control,getListFromComboBoxContentControl
Word,ContentControlOptions,,interface,word-content-controls-insert-and-change-checkbox-content-control,toggleCheckboxContentControl
Word,ContentControlSelectionChangedEventArgs,,interface,word-content-controls-content-control-onselectionchanged-event,registerEventHandlers
Word,ContentControlSelectionChangedEventArgs,,interface,word-content-controls-content-control-onselectionchanged-event,contentControlSelectionChanged
Word,ContentControlState,,enum,word-insert-and-change-content-controls,setState
Word,ContentControlType,,enum,word-content-controls-insert-and-change-checkbox-content-control,insertCheckboxContentControls
Word,Critique,,interface,word-document-manage-annotations,insertAnnotations
Word,CritiqueAnnotation,,class,word-document-manage-annotations,getAnnotations
Word,CritiqueAnnotation,accept,1,word-document-manage-annotations,acceptFirst
Word,CritiqueAnnotation,reject,1,word-document-manage-annotations,rejectLast
Word,CritiqueAnnotation,critique,,word-document-manage-annotations,getAnnotations
Word,CritiqueColorScheme,,enum,word-document-manage-annotations,insertAnnotations
Word,CritiquePopupOptions,,interface,word-document-manage-annotations,insertAnnotations
Word,CustomProperty,,class,word-properties-read-write-custom-document-properties,readCustomDocumentProperties
Word,CustomPropertyCollection,,class,word-properties-read-write-custom-document-properties,readCustomDocumentProperties
Word,CustomPropertyCollection,add,1,word-properties-read-write-custom-document-properties,insertNumericProperty
Word,CustomPropertyCollection,add,1,word-properties-read-write-custom-document-properties,insertStringProperty
Word,CustomPropertyCollection,items,,word-properties-read-write-custom-document-properties,readCustomDocumentProperties
Word,CustomXmlPart,,class,word-document-manage-custom-xml-part,addCustomXmlPart
Word,CustomXmlPart,delete,1,word-document-manage-custom-xml-part,deleteCustomXmlPart
Word,CustomXmlPart,delete,1,word-document-manage-custom-xml-part-ns,deleteCustomXmlPart
Word,CustomXmlPart,getXml,1,word-document-manage-custom-xml-part-ns,addCustomXmlPart
Word,CustomXmlPart,getXml,1,word-document-manage-custom-xml-part,addCustomXmlPart
Word,CustomXmlPart,insertAttribute,1,word-document-manage-custom-xml-part-ns,insertAttribute
Word,CustomXmlPart,insertAttribute,1,word-document-manage-custom-xml-part,insertAttribute
Word,CustomXmlPart,insertElement,1,word-document-manage-custom-xml-part-ns,insertElement
Word,CustomXmlPart,insertElement,1,word-document-manage-custom-xml-part,insertElement
Word,CustomXmlPart,query,1,word-document-manage-custom-xml-part-ns,query
Word,CustomXmlPart,query,1,word-document-manage-custom-xml-part,query
Word,CustomXmlPart,setXml,1,word-document-manage-custom-xml-part-ns,replace
Word,CustomXmlPart,id,,word-document-manage-custom-xml-part,addCustomXmlPart
Word,CustomXmlPart,namespaceUri,,word-document-manage-custom-xml-part-ns,getNamespace
Word,CustomXmlPartCollection,add,1,word-document-manage-custom-xml-part-ns,addCustomXmlPart
Word,CustomXmlPartCollection,add,1,word-document-manage-custom-xml-part,addCustomXmlPart
Word,CustomXmlPartCollection,getByNamespace,1,word-document-manage-custom-xml-part-ns,getByNamespaceUri
Word,CustomXmlPartCollection,getItem,1,word-document-manage-custom-xml-part-ns,query
Word,CustomXmlPartCollection,getItem,1,word-document-manage-custom-xml-part,query
Word,CustomXmlPartScopedCollection,,class,word-document-manage-custom-xml-part-ns,getByNamespaceUri
Word,DatePickerContentControl,,class,word-content-controls-insert-and-change-date-picker-content-control,getDatePickerProperties
Word,DatePickerContentControl,dateCalendarType,,word-content-controls-insert-and-change-date-picker-content-control,changeCalendarType
Word,DatePickerContentControl,dateDisplayFormat,,word-content-controls-insert-and-change-date-picker-content-control,changeDisplayFormat
Word,DatePickerContentControl,dateDisplayLocale,,word-content-controls-insert-and-change-date-picker-content-control,changeCalendarLanguage
Word,DatePickerContentControl,dateStorageFormat,,word-content-controls-insert-and-change-date-picker-content-control,changeStorageFormat
Word,Document,,class,word-document-manage-change-tracking,getChangeTrackingMode
Word,Document,addStyle,1,word-document-manage-styles,addStyle
Word,Document,close,1,word-document-save-close,close
Word,Document,compare,1,word-document-compare-documents,run
Word,Document,exportAsFixedFormat,1,word-export,exportAsPdf
Word,Document,getContentControls,1,word-content-controls-insert-and-change-checkbox-content-control,toggleCheckboxContentControls
Word,Document,getParagraphByUniqueLocalId,1,word-paragraph-onadded-event,getParagraphById
Word,Document,getStyles,1,word-document-manage-styles,getCount
Word,Document,importStylesFromJson,1,word-tables-manage-custom-style,importStylesFromJson
Word,Document,insertFileFromBase64,1,word-document-insert-external-document,insertDocumentWithSettings
Word,Document,save,1,word-document-save-close,save
Word,Document,activeWindow,,word-ranges-get-pages,getAllPages
Word,Document,changeTrackingMode,,word-document-manage-change-tracking,getChangeTrackingMode
Word,Document,coauthoring,,word-coauthoring-manage-coauthors,getCoauthoringStatus
Word,Document,onAnnotationClicked,,word-document-manage-annotations,registerEventHandlers
Word,Document,onAnnotationClicked,,word-document-manage-annotations,onClickedHandler
Word,Document,onAnnotationHovered,,word-document-manage-annotations,registerEventHandlers
Word,Document,onAnnotationHovered,,word-document-manage-annotations,onHoveredHandler
Word,Document,onAnnotationInserted,,word-document-manage-annotations,registerEventHandlers
Word,Document,onAnnotationInserted,,word-document-manage-annotations,onInsertedHandler
Word,Document,onAnnotationPopupAction,,word-document-manage-annotations,registerEventHandlers
Word,Document,onAnnotationPopupAction,,word-document-manage-annotations,onPopupActionHandler
Word,Document,onAnnotationRemoved,,word-document-manage-annotations,registerEventHandlers
Word,Document,onAnnotationRemoved,,word-document-manage-annotations,onRemovedHandler
Word,Document,onContentControlAdded,,word-content-controls-content-control-onadded-event,registerEventHandler
Word,Document,onContentControlAdded,,word-content-controls-content-control-onadded-event,contentControlAdded
Word,Document,onParagraphAdded,,word-paragraph-onadded-event,registerEventHandler
Word,Document,onParagraphAdded,,word-paragraph-onadded-event,paragraphAdded
Word,Document,onParagraphChanged,,word-paragraph-onchanged-event,registerEventHandler
Word,Document,onParagraphChanged,,word-paragraph-onchanged-event,paragraphChanged
Word,Document,onParagraphDeleted,,word-paragraph-ondeleted-event,registerEventHandler
Word,Document,onParagraphDeleted,,word-paragraph-ondeleted-event,paragraphDeleted
Word,Document,properties,,word-properties-get-built-in-properties,getProperties
Word,Document,selection,,word-selection-insert-formula,insertFormulaAuto
Word,Document,settings,,word-document-manage-settings,getAllSettings
Word,Document,windows,,word-ranges-get-pages,getAllWindows
Word,DocumentCompareOptions,,interface,word-document-compare-documents,run
Word,DocumentCreated,,class,word-document-insert-external-document,insertDocument
Word,DocumentExportAsFixedFormatOptions,,interface,word-export,exportAsPdf
Word,DocumentProperties,,class,word-properties-get-built-in-properties,getProperties
Word,DocumentPropertyType,,enum,word-properties-read-write-custom-document-properties,readCustomDocumentProperties
Word,DropDownListContentControl,,class,word-content-controls-insert-and-change-dropdown-list-content-control,insertDropdownListContentControl
Word,DropDownListContentControl,addListItem,1,word-content-controls-insert-and-change-dropdown-list-content-control,addItemToDropdownListContentControl
Word,DropDownListContentControl,deleteAllListItems,1,word-content-controls-insert-and-change-dropdown-list-content-control,deleteListFromDropdownListContentControl
Word,DropDownListContentControl,listItems,,word-content-controls-insert-and-change-dropdown-list-content-control,deleteItemFromDropdownListContentControl
Word,ErrorCodes,,enum,word-content-controls-insert-and-change-checkbox-content-control,tryCatch
Word,EventSource,,enum,word-manage-comments,registerEventHandlers
Word,EventSource,,enum,word-manage-comments,onEventHandler
Word,EventType,,enum,word-content-controls-content-control-ondeleted-event,contentControlDeleted
Word,ExportFormat,,enum,word-export,exportAsPdf
Word,ExportItem,,enum,word-export,exportAsPdf
Word,ExportOptimizeFor,,enum,word-export,exportAsPdf
Word,Field,,class,word-document-manage-fields,getFirstField
Word,Field,delete,1,word-document-manage-fields,deleteFirstField
Word,Field,select,1,word-document-manage-fields,getSelectedFieldAndUpdate
Word,Field,updateResult,1,word-document-manage-fields,getSelectedFieldAndUpdate
Word,Field,code,,word-document-manage-fields,getFirstField
Word,Field,kind,,word-document-manage-fields,getFirstField
Word,Field,locked,,word-document-manage-fields,getFieldAndLockOrUnlock
Word,Field,parentBody,,word-document-manage-fields,getParentBodyOfFirstField
Word,Field,result,,word-document-manage-fields,getFirstField
Word,Field,type,,word-document-manage-fields,getFirstField
Word,FieldCollection,,class,word-document-manage-fields,getAllFields
Word,FieldCollection,getFirstOrNullObject,1,word-document-manage-fields,getFirstField
Word,FieldCollection,items,,word-document-manage-fields,getAllFields
Word,FieldKind,,enum,word-document-manage-fields,getFirstField
Word,FieldType,,enum,word-document-manage-fields,rangeInsertDateField
Word,FontBias,,enum,word-selection-insert-symbol,insertWingdings
Word,GeometricShapeType,,enum,word-shapes-manage-geometric-shapes,insertGeometricShape_Heptagon
Word,GetTextOptions,,interface,word-paragraph-get-text,run
Word,HeaderFooterType,,enum,word-paragraph-insert-header-and-footer,addHeader
Word,ImageFormat,,enum,word-images-insert-and-get-pictures,getImage
Word,ImportedStylesConflictBehavior,,enum,word-tables-manage-custom-style,importStylesFromJson
Word,InlinePicture,getBase64ImageSrc,1,word-images-insert-and-get-pictures,getImage
Word,InlinePicture,,class,word-images-insert-and-get-pictures,insertImage
Word,InlinePicture,imageFormat,,word-images-insert-and-get-pictures,getImage
Word,InlinePictureCollection,,class,word-images-insert-and-get-pictures,getImage
Word,InsertFileOptions,,interface,word-document-insert-external-document,insertDocumentWithSettings
Word,InsertLocation,,enum,word-document-insert-section-breaks,addContinuous
Word,InsertShapeOptions,,interface,word-shapes-manage-shapes-text-boxes,insertTextBoxIntoCurrentSelection
Word,LanguageId,,enum,word-content-controls-insert-and-change-date-picker-content-control,changeCalendarLanguage
Word,List,,class,word-lists-insert-list,insertList
Word,List,insertParagraph,1,word-lists-insert-list,insertList
Word,List,setLevelBullet,1,word-lists-organize-list,insertOrganizeList
Word,List,setLevelNumbering,1,word-lists-organize-list,insertOrganizeList
Word,List,levelExistences,,word-lists-organize-list,getListProps
Word,List,levelTypes,,word-lists-organize-list,getListProps
Word,ListBuiltInNumberStyle,,enum,word-lists-manage-styles,getProperties
Word,ListBullet,,enum,word-lists-organize-list,insertOrganizeList
Word,ListCollection,,class,word-lists-organize-list,getListProps
Word,ListFormat,,class,word-lists-format-list-range,getListFormatInfo
Word,ListFormat,countNumberedItems,1,word-lists-format-list-range,countAllNumbers
Word,ListFormatCountNumberedItemsOptions,,interface,word-lists-format-list-range,countLevel2Items
Word,ListItem,,class,word-lists-insert-list,insertList
Word,ListItem,level,,word-lists-insert-list,insertList
Word,ListLevel,,class,word-lists-manage-styles,getProperties
Word,ListLevelCollection,,class,word-lists-manage-styles,getProperties
Word,ListLevelType,,enum,word-lists-organize-list,getListProps
Word,ListNumbering,,enum,word-lists-organize-list,insertOrganizeList
Word,ListTemplate,,class,word-lists-manage-styles,getProperties
Word,LocationRelation,,enum,word-ranges-compare-location,compareLocations
Word,NoteItem,,class,word-document-manage-footnotes,getFootnoteBody
Word,NoteItem,delete,1,word-document-manage-footnotes,deleteFootnote
Word,NoteItem,getNext,1,word-document-manage-footnotes,getNextFootnote
Word,NoteItem,body,,word-document-manage-footnotes,getFootnoteBody
Word,NoteItem,reference,,word-document-manage-footnotes,getReference
Word,NoteItem,type,,word-document-manage-footnotes,getFootnoteType
Word,NoteItemCollection,,class,word-document-manage-footnotes,getFirstFootnote
Word,NoteItemCollection,getFirst,1,word-document-manage-footnotes,getFirstFootnote
Word,NoteItemType,,enum,word-document-manage-footnotes,getFootnoteType
Word,NumberType,,enum,word-lists-format-list-range,countLevel1Items
Word,OperationUnit,,enum,word-selection-get-previous-next-range,getNextWord
Word,OutlineLevel,,enum,word-tables-manage-custom-style,importStylesFromJson
Word,Page,,class,word-ranges-get-pages,getPagesOfSelectedRange
Word,Page,getRange,1,word-ranges-get-pages,getPagesOfSelectedRange
Word,Page,index,,word-ranges-get-pages,getPagesOfThirdParagraph
Word,PageCollection,,class,word-ranges-get-pages,getPagesOfSelectedRange
Word,Pane,,class,word-ranges-get-pages,getAllPages
Word,Pane,pages,,word-ranges-get-pages,getAllPages
Word,Pane,pagesEnclosingViewport,,word-ranges-get-pages,getPagesEnclosingViewport
Word,PaneCollection,,class,word-ranges-get-pages,getAllPanes
Word,Paragraph,,class,word-paragraph-get-paragraph-on-insertion-point,getParagraph
Word,Paragraph,getRange,1,word-paragraph-get-paragraph-on-insertion-point,getSentences
Word,Paragraph,insertAnnotations,1,word-document-manage-annotations,insertAnnotations
Word,Paragraph,insertBreak,1,word-paragraph-insert-line-and-page-breaks,insertLineBreak
Word,Paragraph,insertContentControl,1,word-content-controls-insert-and-change-content-controls,insertContentControls
Word,Paragraph,insertGeometricShape,1,word-shapes-group-ungroup,setup
Word,Paragraph,insertText,1,word-paragraph-insert-in-different-locations,replace
Word,Paragraph,insertTextBox,1,word-shapes-manage-shapes-text-boxes,insertTextBoxInHeaderAtFirstParagraph
Word,Paragraph,select,1,word-ranges-scroll-to-range,scroll
Word,Paragraph,select,1,word-ranges-scroll-to-range,scrollEnd
Word,Paragraph,set,1,word-scenarios-multiple-property-set,setMultiplePropertiesWithObject
Word,Paragraph,set,1,word-scenarios-multiple-property-set,copyPropertiesFromParagraph
Word,Paragraph,split,1,word-ranges-split-words-of-first-paragraph,highlightWords
Word,Paragraph,startNewList,1,word-lists-insert-list,insertList
Word,Paragraph,alignment,,word-paragraph-paragraph-properties,align
Word,Paragraph,leftIndent,,word-paragraph-paragraph-properties,indent
Word,Paragraph,lineSpacing,,word-paragraph-paragraph-properties,spacing
Word,Paragraph,lineUnitAfter,,word-paragraph-paragraph-properties,spaceAfterInLines
Word,Paragraph,lineUnitBefore,,word-paragraph-paragraph-properties,spaceBeforeInLines
Word,Paragraph,spaceAfter,,word-paragraph-paragraph-properties,spaceAfter
Word,Paragraph,style,,word-document-manage-styles,applyStyle
Word,Paragraph,styleBuiltIn,,word-scenarios-doc-assembly,addParagraphs
Word,Paragraph,text,,word-paragraph-get-paragraph-on-insertion-point,getParagraph
Word,Paragraph,uniqueLocalId,,word-document-manage-annotations,registerEventHandlers
Word,Paragraph,uniqueLocalId,,word-document-manage-annotations,paragraphChanged
Word,ParagraphAddedEventArgs,,interface,word-paragraph-onadded-event,registerEventHandler
Word,ParagraphAddedEventArgs,,interface,word-paragraph-onadded-event,paragraphAdded
Word,ParagraphChangedEventArgs,,interface,word-paragraph-onchanged-event,registerEventHandler
Word,ParagraphChangedEventArgs,,interface,word-paragraph-onchanged-event,paragraphChanged
Word,ParagraphCollection,,class,word-images-insert-and-get-pictures,insertImage
Word,ParagraphCollection,getFirst,1,word-document-manage-annotations,getAnnotations
Word,ParagraphCollection,getLast,1,word-images-insert-and-get-pictures,insertImage
Word,ParagraphCollection,items,,word-lists-insert-list,insertList
Word,ParagraphDeletedEventArgs,,interface,word-paragraph-ondeleted-event,registerEventHandler
Word,ParagraphDeletedEventArgs,,interface,word-paragraph-ondeleted-event,paragraphDeleted
Word,ParagraphFormat,,class,word-document-manage-styles,setParagraphFormat
Word,ParagraphFormat,alignment,,word-document-manage-styles,setParagraphFormat
Word,ParagraphFormat,leftIndent,,word-document-manage-styles,setParagraphFormat
Word,Range,,class,word-document-manage-comments,getFirstCommentRangeInSelection
Word,Range,compareLocationWith,1,word-ranges-compare-location,compareLocations
